data,ano,mes,regiao,bioma,focos_observados,cidade_ref,lat_ref,lon_ref,temperatura_c,temperatura_max_c,temperatura_min_c,umidade_pct,precipitacao_mm,vento_ms,vento_kmh,focos_dia_anterior,focos_acumulados_7d,media_focos_7d,media_focos_15d,chuva_acumulada_7d,umidade_media_7d,temperatura_media_7d,dias_sem_chuva,focos_proximo_dia,limiar_risco_bioma,risco_alto_queimada,dia_do_ano
2025-01-15,2025,1,Centro-Oeste,Amazônia,8,Manaus,-3.119,-60.0217,26.14,27.64,24.96,89.85,9.44,1.11,3.996,1.0,105.0,15.0,26.692307692307693,29.770000000000003,86.21000000000001,27.04714285714286,0,13.0,152.25,0,15
2025-01-16,2025,1,Centro-Oeste,Amazônia,13,Manaus,-3.119,-60.0217,26.16,29.43,23.43,83.14,2.97,0.9,3.24,8.0,53.0,7.571428571428571,25.357142857142858,32.46,86.19714285714285,27.02142857142857,0,9.0,152.25,0,16
2025-01-17,2025,1,Centro-Oeste,Amazônia,9,Manaus,-3.119,-60.0217,26.28,28.95,24.36,86.08,1.6,1.21,4.356,13.0,48.0,6.857142857142857,24.533333333333335,31.33,85.52,26.965714285714288,0,19.0,152.25,0,17
2025-01-18,2025,1,Centro-Oeste,Amazônia,19,Manaus,-3.119,-60.0217,26.77,30.26,23.88,84.08,3.68,1.3,4.680000000000001,9.0,56.0,8.0,13.933333333333334,32.8,86.14714285714285,26.802857142857142,0,4.0,152.25,0,18
2025-01-19,2025,1,Centro-Oeste,Amazônia,4,Manaus,-3.119,-60.0217,26.14,29.34,23.68,85.83,3.91,1.19,4.284,19.0,64.0,9.142857142857142,14.733333333333333,35.43,86.16999999999999,26.740000000000002,0,8.0,152.25,0,19
2025-01-20,2025,1,Centro-Oeste,Amazônia,8,Manaus,-3.119,-60.0217,26.41,28.94,24.43,85.95,0.84,1.26,4.5360000000000005,4.0,65.0,9.285714285714286,12.6,34.81,85.70285714285716,26.60857142857143,1,7.0,152.25,0,20
2025-01-21,2025,1,Centro-Oeste,Amazônia,7,Manaus,-3.119,-60.0217,26.95,29.72,24.55,81.55,1.22,1.28,4.6080000000000005,8.0,62.0,8.857142857142858,12.466666666666667,33.62,86.33142857142856,26.412857142857145,0,14.0,152.25,0,21
2025-01-22,2025,1,Centro-Oeste,Amazônia,14,Manaus,-3.119,-60.0217,26.5,29.75,24.55,85.6,3.58,1.5,5.4,7.0,68.0,9.714285714285714,12.066666666666666,23.659999999999997,85.21142857142857,26.407142857142855,0,44.0,152.25,0,22
2025-01-23,2025,1,Centro-Oeste,Amazônia,44,Manaus,-3.119,-60.0217,26.55,30.39,23.56,81.49,3.28,1.2,4.32,14.0,74.0,10.571428571428571,12.466666666666667,17.8,84.60428571428572,26.458571428571425,0,181.0,152.25,1,23
2025-01-24,2025,1,Centro-Oeste,Amazônia,181,Manaus,-3.119,-60.0217,26.77,29.51,24.32,80.39,2.32,1.53,5.508,44.0,105.0,15.0,11.4,18.11,84.36857142857143,26.514285714285712,0,88.0,152.25,0,24
2025-01-25,2025,1,Centro-Oeste,Amazônia,88,Manaus,-3.119,-60.0217,26.64,30.89,23.28,79.46,1.47,1.26,4.5360000000000005,181.0,277.0,39.57142857142857,22.266666666666666,18.83,83.55571428571429,26.58428571428571,0,101.0,152.25,0,25
2025-01-26,2025,1,Centro-Oeste,Amazônia,101,Manaus,-3.119,-60.0217,27.26,31.17,23.81,77.3,2.26,1.41,5.076,88.0,346.0,49.42857142857143,28.066666666666666,16.62,82.89571428571428,26.565714285714286,0,141.0,152.25,0,26
2025-01-27,2025,1,Centro-Oeste,Amazônia,141,Manaus,-3.119,-60.0217,27.07,30.44,24.57,80.76,1.9,1.22,4.392,101.0,443.0,63.285714285714285,34.06666666666667,14.969999999999999,81.67714285714285,26.725714285714282,0,340.0,152.25,1,27
2025-01-28,2025,1,Centro-Oeste,Amazônia,340,Manaus,-3.119,-60.0217,26.96,29.9,24.45,82.05,2.12,1.47,5.292,141.0,576.0,82.28571428571429,43.266666666666666,16.03,80.93571428571428,26.82,0,297.0,152.25,1,28
2025-01-29,2025,1,Centro-Oeste,Amazônia,297,Manaus,-3.119,-60.0217,27.42,31.71,24.03,80.48,4.4,1.62,5.832000000000001,340.0,909.0,129.85714285714286,65.2,16.93,81.00714285714285,26.821428571428573,0,47.0,152.25,0,29
2025-01-30,2025,1,Centro-Oeste,Amazônia,47,Manaus,-3.119,-60.0217,26.93,30.2,24.6,85.78,6.96,1.38,4.968,297.0,1192.0,170.28571428571428,84.93333333333334,17.75,80.27571428571427,26.952857142857145,0,47.0,152.25,0,30
2025-01-31,2025,1,Centro-Oeste,Amazônia,47,Manaus,-3.119,-60.0217,27.25,31.19,24.2,85.01,6.45,1.17,4.212,47.0,1195.0,170.71428571428572,87.53333333333333,21.43,80.88857142857144,27.00714285714286,0,24.0,152.25,0,31
2025-02-01,2025,2,Centro-Oeste,Amazônia,24,Manaus,-3.119,-60.0217,26.88,30.93,23.24,81.93,3.4,1.12,4.032000000000001,47.0,1061.0,151.57142857142858,89.8,25.560000000000002,81.54857142857144,27.07571428571429,0,1.0,152.25,0,32
2025-02-02,2025,2,Centro-Oeste,Amazônia,1,Manaus,-3.119,-60.0217,27.25,29.08,25.17,81.02,0.28,1.24,4.464,24.0,997.0,142.42857142857142,90.8,27.490000000000002,81.90142857142858,27.110000000000003,1,3.0,152.25,0,33
2025-02-03,2025,2,Centro-Oeste,Amazônia,3,Manaus,-3.119,-60.0217,27.67,31.5,24.62,77.22,0.05,1.31,4.716,1.0,897.0,128.14285714285714,89.6,25.51,82.43285714285715,27.10857142857143,2,29.0,152.25,0,34
2025-02-04,2025,2,Centro-Oeste,Amazônia,29,Manaus,-3.119,-60.0217,26.78,29.8,25.04,82.11,6.16,1.52,5.472,3.0,759.0,108.42857142857143,89.53333333333333,23.66,81.92714285714285,27.194285714285712,0,12.0,152.25,0,35
2025-02-05,2025,2,Centro-Oeste,Amazônia,12,Manaus,-3.119,-60.0217,26.48,30.27,24.12,83.89,3.42,1.45,5.22,29.0,448.0,64.0,90.93333333333334,27.7,81.93571428571428,27.16857142857143,0,8.0,152.25,0,36
2025-02-06,2025,2,Centro-Oeste,Amazônia,8,Manaus,-3.119,-60.0217,26.99,30.63,24.15,80.95,5.77,1.54,5.5440000000000005,12.0,163.0,23.285714285714285,91.26666666666667,26.72,82.42285714285715,27.034285714285716,0,127.0,152.25,0,37
2025-02-07,2025,2,Centro-Oeste,Amazônia,127,Manaus,-3.119,-60.0217,27.16,31.08,23.98,81.78,2.44,1.38,4.968,8.0,124.0,17.714285714285715,90.86666666666666,25.53,81.73285714285714,27.04285714285714,0,54.0,152.25,0,38
2025-02-08,2025,2,Centro-Oeste,Amazônia,54,Manaus,-3.119,-60.0217,27.06,30.43,24.55,82.99,4.85,0.91,3.276,127.0,204.0,29.142857142857142,96.4,21.519999999999996,81.27142857142857,27.029999999999998,0,78.0,152.25,0,39
2025-02-09,2025,2,Centro-Oeste,Amazônia,78,Manaus,-3.119,-60.0217,26.26,29.12,24.35,85.53,12.71,1.06,3.816,54.0,234.0,33.42857142857143,87.93333333333334,22.97,81.42285714285715,27.055714285714284,0,17.0,152.25,0,40
2025-02-10,2025,2,Centro-Oeste,Amazônia,17,Manaus,-3.119,-60.0217,24.93,25.91,23.67,91.29,12.0,1.0,3.6,78.0,311.0,44.42857142857143,87.26666666666667,35.4,82.06714285714285,26.914285714285715,0,33.0,152.25,0,41
2025-02-11,2025,2,Centro-Oeste,Amazônia,33,Manaus,-3.119,-60.0217,25.94,29.81,23.66,86.92,7.19,1.24,4.464,17.0,325.0,46.42857142857143,81.66666666666667,47.35,84.07714285714285,26.52285714285714,0,31.0,152.25,0,42
2025-02-12,2025,2,Centro-Oeste,Amazônia,31,Manaus,-3.119,-60.0217,26.29,29.07,24.38,88.73,6.4,1.34,4.824000000000001,33.0,329.0,47.0,74.46666666666667,48.379999999999995,84.76428571428572,26.40285714285714,0,9.0,152.25,0,43
2025-02-13,2025,2,Centro-Oeste,Amazônia,9,Manaus,-3.119,-60.0217,26.11,29.29,23.92,88.78,5.77,1.44,5.184,31.0,348.0,49.714285714285715,53.86666666666667,51.36000000000001,85.4557142857143,26.375714285714285,0,13.0,152.25,0,44
2025-02-14,2025,2,Centro-Oeste,Amazônia,13,Manaus,-3.119,-60.0217,25.58,27.01,24.49,91.91,9.76,1.05,3.78,9.0,349.0,49.857142857142854,34.666666666666664,51.36,86.57428571428571,26.25,0,44.0,152.25,0,45
2025-02-15,2025,2,Centro-Oeste,Amazônia,44,Manaus,-3.119,-60.0217,24.76,25.92,23.89,92.2,15.55,1.02,3.672,13.0,235.0,33.57142857142857,32.4,58.68000000000001,88.02142857142857,26.024285714285718,0,19.0,152.25,0,46
2025-02-16,2025,2,Centro-Oeste,Amazônia,19,Manaus,-3.119,-60.0217,26.24,30.23,23.38,83.98,0.81,1.13,4.068,44.0,225.0,32.142857142857146,32.2,69.38,89.33714285714287,25.695714285714285,1,44.0,152.25,0,47
2025-02-17,2025,2,Centro-Oeste,Amazônia,44,Manaus,-3.119,-60.0217,26.93,30.11,24.27,84.07,3.46,1.58,5.688000000000001,19.0,166.0,23.714285714285715,31.866666666666667,57.480000000000004,89.11571428571429,25.692857142857143,0,96.0,152.25,0,48
2025-02-18,2025,2,Centro-Oeste,Amazônia,96,Manaus,-3.119,-60.0217,26.82,30.14,24.45,86.65,6.3,1.12,4.032000000000001,44.0,193.0,27.571428571428573,34.733333333333334,48.940000000000005,88.08428571428571,25.97857142857143,0,33.0,152.25,0,49
2025-02-19,2025,2,Centro-Oeste,Amazônia,33,Manaus,-3.119,-60.0217,26.43,27.87,25.12,84.98,10.79,0.98,3.528,96.0,256.0,36.57142857142857,40.93333333333333,48.050000000000004,88.04571428571428,26.104285714285716,0,67.0,152.25,0,50
2025-02-20,2025,2,Centro-Oeste,Amazônia,67,Manaus,-3.119,-60.0217,26.57,30.33,23.91,82.16,0.19,1.62,5.832000000000001,33.0,258.0,36.857142857142854,41.2,52.44,87.50999999999999,26.124285714285715,1,39.0,152.25,0,51
2025-02-21,2025,2,Centro-Oeste,Amazônia,39,Manaus,-3.119,-60.0217,26.76,30.37,23.6,85.07,8.58,1.33,4.788,67.0,316.0,45.142857142857146,44.86666666666667,46.86,86.56428571428572,26.19,0,89.0,152.25,0,52
2025-02-22,2025,2,Centro-Oeste,Amazônia,89,Manaus,-3.119,-60.0217,27.24,30.74,24.55,85.36,4.22,1.35,4.86,39.0,342.0,48.857142857142854,46.93333333333333,45.67999999999999,85.58714285714287,26.358571428571427,0,106.0,152.25,0,53
2025-02-23,2025,2,Centro-Oeste,Amazônia,106,Manaus,-3.119,-60.0217,26.38,27.94,24.99,87.67,3.41,1.07,3.852,89.0,387.0,55.285714285714285,44.4,34.35,84.61,26.712857142857143,0,37.0,152.25,0,54
2025-02-24,2025,2,Centro-Oeste,Amazônia,37,Manaus,-3.119,-60.0217,26.7,30.38,23.85,83.81,1.36,1.11,3.996,106.0,474.0,67.71428571428571,47.86666666666667,36.949999999999996,85.13714285714286,26.732857142857142,0,6.0,152.25,0,55
2025-02-25,2025,2,Centro-Oeste,Amazônia,6,Manaus,-3.119,-60.0217,27.23,30.18,24.83,81.27,0.41,1.37,4.932,37.0,467.0,66.71428571428571,45.13333333333333,34.849999999999994,85.10000000000001,26.699999999999996,1,6.0,152.25,0,56
2025-02-26,2025,2,Centro-Oeste,Amazônia,6,Manaus,-3.119,-60.0217,27.18,30.97,24.28,82.26,0.2,1.26,4.5360000000000005,6.0,377.0,53.857142857142854,44.4,28.959999999999997,84.33142857142856,26.75857142857143,2,11.0,152.25,0,57
2025-02-27,2025,2,Centro-Oeste,Amazônia,11,Manaus,-3.119,-60.0217,28.14,32.55,24.52,77.95,0.06,1.45,5.22,6.0,350.0,50.0,42.6,18.37,83.94285714285714,26.865714285714283,3,5.0,152.25,0,58
2025-02-28,2025,2,Centro-Oeste,Amazônia,5,Manaus,-3.119,-60.0217,28.29,32.08,24.84,75.8,0.09,1.46,5.256,11.0,294.0,42.0,41.266666666666666,18.24,83.34142857142857,27.09,4,41.0,152.25,0,59
2025-03-01,2025,3,Centro-Oeste,Amazônia,41,Manaus,-3.119,-60.0217,28.77,33.14,24.9,70.76,0.01,1.53,5.508,5.0,260.0,37.142857142857146,41.0,9.75,82.01714285714286,27.30857142857143,5,7.0,152.25,0,60
2025-03-02,2025,3,Centro-Oeste,Amazônia,7,Manaus,-3.119,-60.0217,28.84,33.71,24.93,69.55,1.15,1.25,4.5,41.0,212.0,30.285714285714285,42.86666666666667,5.54,79.93142857142857,27.527142857142856,0,7.0,152.25,0,61
2025-03-03,2025,3,Centro-Oeste,Amazônia,7,Manaus,-3.119,-60.0217,28.45,32.97,24.82,75.63,5.48,1.16,4.176,7.0,113.0,16.142857142857142,40.4,3.2800000000000002,77.34285714285716,27.87857142857143,0,4.0,152.25,0,62
2025-03-04,2025,3,Centro-Oeste,Amazônia,4,Manaus,-3.119,-60.0217,27.19,31.01,24.18,82.46,13.3,1.02,3.672,7.0,83.0,11.857142857142858,39.6,7.4,76.17428571428572,28.12857142857143,0,24.0,152.25,0,63
2025-03-06,2025,3,Centro-Oeste,Amazônia,24,Manaus,-3.119,-60.0217,26.8,31.04,23.73,82.55,0.14,1.45,5.22,4.0,81.0,11.571428571428571,36.93333333333333,20.29,76.3442857142857,28.12285714285714,1,24.0,152.25,0,65
2025-03-07,2025,3,Centro-Oeste,Amazônia,24,Manaus,-3.119,-60.0217,25.9,27.36,24.39,89.01,10.29,1.12,4.032000000000001,24.0,99.0,14.142857142857142,32.13333333333333,20.23,76.38571428571429,28.06857142857143,0,10.0,152.25,0,66
2025-03-08,2025,3,Centro-Oeste,Amazônia,10,Manaus,-3.119,-60.0217,25.53,27.01,24.63,89.91,15.99,0.82,2.952,24.0,112.0,16.0,31.533333333333335,30.46,77.96571428571428,27.74857142857143,0,44.0,152.25,0,67
2025-03-09,2025,3,Centro-Oeste,Amazônia,44,Manaus,-3.119,-60.0217,25.72,28.35,23.79,84.87,3.06,1.31,4.716,10.0,117.0,16.714285714285715,27.733333333333334,46.36,79.98142857142857,27.354285714285716,0,49.0,152.25,0,68
2025-03-10,2025,3,Centro-Oeste,Amazônia,49,Manaus,-3.119,-60.0217,26.69,30.36,23.76,83.51,0.41,1.25,4.5,44.0,120.0,17.142857142857142,28.066666666666666,49.410000000000004,81.99714285714286,26.91857142857143,1,34.0,152.25,0,69
2025-03-11,2025,3,Centro-Oeste,Amazônia,34,Manaus,-3.119,-60.0217,27.34,30.95,24.3,81.15,3.47,1.35,4.86,49.0,162.0,23.142857142857142,25.4,48.67,83.99142857142859,26.611428571428572,0,23.0,152.25,0,70
2025-03-12,2025,3,Centro-Oeste,Amazônia,23,Manaus,-3.119,-60.0217,26.89,29.51,24.73,85.73,1.75,1.39,5.004,34.0,189.0,27.0,20.6,46.66,84.78,26.452857142857145,0,49.0,152.25,0,71
2025-03-13,2025,3,Centro-Oeste,Amazônia,49,Manaus,-3.119,-60.0217,27.14,30.59,24.59,82.85,3.68,1.33,4.788,23.0,208.0,29.714285714285715,19.666666666666668,35.11,85.24714285714286,26.41,0,56.0,152.25,0,72
2025-03-14,2025,3,Centro-Oeste,Amazônia,56,Manaus,-3.119,-60.0217,27.48,30.99,24.94,82.67,8.11,1.24,4.464,49.0,233.0,33.285714285714285,22.533333333333335,38.65,85.29,26.458571428571425,0,33.0,152.25,0,73
2025-03-15,2025,3,Centro-Oeste,Amazônia,33,Manaus,-3.119,-60.0217,26.99,29.11,25.17,84.63,5.74,1.17,4.212,56.0,265.0,37.857142857142854,25.866666666666667,36.47,84.38428571428572,26.684285714285718,0,9.0,152.25,0,74
2025-03-16,2025,3,Centro-Oeste,Amazônia,9,Manaus,-3.119,-60.0217,26.59,29.03,25.2,86.42,5.17,1.08,3.888,33.0,288.0,41.142857142857146,27.333333333333332,26.22,83.63,26.892857142857142,0,18.0,152.25,0,75
2025-03-17,2025,3,Centro-Oeste,Amazônia,18,Manaus,-3.119,-60.0217,26.53,28.87,24.82,86.51,8.9,1.3,4.680000000000001,9.0,253.0,36.142857142857146,27.6,28.330000000000002,83.85142857142857,27.017142857142858,0,140.0,152.25,0,76
2025-03-18,2025,3,Centro-Oeste,Amazônia,140,Manaus,-3.119,-60.0217,26.77,31.24,23.83,81.17,2.9,1.08,3.888,18.0,222.0,31.714285714285715,26.066666666666666,36.82,84.28,26.994285714285713,0,125.0,152.25,0,77
2025-03-19,2025,3,Centro-Oeste,Amazônia,125,Manaus,-3.119,-60.0217,25.8,27.28,24.42,88.86,13.66,1.01,3.636,140.0,328.0,46.857142857142854,34.93333333333333,36.25,84.28285714285714,26.912857142857145,0,51.0,152.25,0,78
2025-03-20,2025,3,Centro-Oeste,Amazônia,51,Manaus,-3.119,-60.0217,25.75,28.68,23.61,84.97,2.83,1.52,5.472,125.0,430.0,61.42857142857143,42.8,48.160000000000004,84.73,26.75714285714286,0,101.0,152.25,0,79
2025-03-21,2025,3,Centro-Oeste,Amazônia,101,Manaus,-3.119,-60.0217,26.49,30.39,23.34,82.43,1.54,1.58,5.688000000000001,51.0,432.0,61.714285714285715,45.93333333333333,47.31,85.03285714285714,26.558571428571433,0,76.0,152.25,0,80
2025-03-22,2025,3,Centro-Oeste,Amazônia,76,Manaus,-3.119,-60.0217,27.02,30.66,23.99,85.91,5.1,1.29,4.644,101.0,477.0,68.14285714285714,51.06666666666667,40.74,84.99857142857142,26.417142857142856,0,35.0,152.25,0,81
2025-03-23,2025,3,Centro-Oeste,Amazônia,35,Manaus,-3.119,-60.0217,26.0,26.91,25.24,96.06,29.28,1.31,4.716,76.0,520.0,74.28571428571429,54.53333333333333,40.1,85.18142857142857,26.421428571428574,0,13.0,152.25,0,82
2025-03-24,2025,3,Centro-Oeste,Amazônia,13,Manaus,-3.119,-60.0217,26.31,29.45,23.88,87.51,2.32,1.63,5.867999999999999,35.0,546.0,78.0,56.2,64.21000000000001,86.55857142857144,26.337142857142858,0,17.0,152.25,0,83
2025-03-25,2025,3,Centro-Oeste,Amazônia,17,Manaus,-3.119,-60.0217,26.38,28.45,24.69,89.9,3.89,1.29,4.644,13.0,541.0,77.28571428571429,54.13333333333333,57.63,86.70142857142858,26.305714285714288,0,11.0,152.25,0,84
2025-03-26,2025,3,Centro-Oeste,Amazônia,11,Manaus,-3.119,-60.0217,25.68,27.93,23.9,90.87,4.57,1.21,4.356,17.0,418.0,59.714285714285715,52.0,58.620000000000005,87.94857142857143,26.25,0,1.0,152.25,0,85
2025-03-27,2025,3,Centro-Oeste,Amazônia,1,Manaus,-3.119,-60.0217,25.43,27.27,24.1,93.23,20.63,1.27,4.572,11.0,304.0,43.42857142857143,50.46666666666667,49.53,88.23571428571428,26.232857142857142,0,11.0,152.25,0,86
2025-03-28,2025,3,Centro-Oeste,Amazônia,11,Manaus,-3.119,-60.0217,25.41,28.04,23.5,92.12,9.39,1.22,4.392,1.0,254.0,36.285714285714285,49.0,67.33,89.4157142857143,26.187142857142852,0,153.0,152.25,1,87
2025-03-29,2025,3,Centro-Oeste,Amazônia,153,Manaus,-3.119,-60.0217,25.94,28.4,24.27,90.47,8.44,1.19,4.284,11.0,164.0,23.428571428571427,46.46666666666667,75.17999999999999,90.8,26.032857142857146,0,13.0,152.25,0,88
2025-03-30,2025,3,Centro-Oeste,Amazônia,13,Manaus,-3.119,-60.0217,25.79,27.57,24.23,93.56,12.31,1.17,4.212,153.0,241.0,34.42857142857143,52.93333333333333,78.52,91.45142857142858,25.87857142857143,0,6.0,152.25,0,89
2025-03-31,2025,3,Centro-Oeste,Amazônia,6,Manaus,-3.119,-60.0217,26.09,28.96,23.74,89.89,3.37,1.3,4.680000000000001,13.0,219.0,31.285714285714285,51.6,61.55,91.09428571428573,25.84857142857143,0,14.0,152.25,0,90
2025-04-01,2025,4,Centro-Oeste,Amazônia,14,Manaus,-3.119,-60.0217,25.84,27.43,24.53,90.23,3.3,1.47,5.292,6.0,212.0,30.285714285714285,51.4,62.6,91.4342857142857,25.81714285714286,0,38.0,152.25,0,91
2025-04-02,2025,4,Centro-Oeste,Amazônia,38,Manaus,-3.119,-60.0217,26.16,28.87,23.69,87.46,0.67,1.41,5.076,14.0,209.0,29.857142857142858,51.13333333333333,62.01,91.48142857142857,25.740000000000002,1,67.0,152.25,0,92
2025-04-03,2025,4,Centro-Oeste,Amazônia,67,Manaus,-3.119,-60.0217,26.53,28.96,24.62,89.03,4.01,0.92,3.3120000000000003,38.0,236.0,33.714285714285715,44.333333333333336,58.11,90.99428571428572,25.80857142857143,0,105.0,152.25,0,93
2025-04-04,2025,4,Centro-Oeste,Amazônia,105,Manaus,-3.119,-60.0217,25.57,26.94,24.19,90.13,19.3,0.97,3.492,67.0,302.0,43.142857142857146,40.46666666666667,41.49,90.39428571428572,25.965714285714288,0,83.0,152.25,0,94
2025-04-05,2025,4,Centro-Oeste,Amazônia,83,Manaus,-3.119,-60.0217,26.1,28.67,24.25,85.18,4.13,1.0,3.6,105.0,396.0,56.57142857142857,44.06666666666667,51.4,90.11,25.98857142857143,0,24.0,152.25,0,95
2025-04-06,2025,4,Centro-Oeste,Amazônia,24,Manaus,-3.119,-60.0217,27.04,29.87,24.87,82.11,0.0,1.29,4.644,83.0,326.0,46.57142857142857,42.86666666666667,47.09,89.3542857142857,26.01142857142857,1,31.0,152.25,0,96
2025-04-07,2025,4,Centro-Oeste,Amazônia,31,Manaus,-3.119,-60.0217,26.87,29.75,24.5,84.68,0.0,1.12,4.032000000000001,24.0,337.0,48.142857142857146,39.4,34.78,87.71857142857142,26.189999999999998,2,15.0,152.25,0,97
2025-04-08,2025,4,Centro-Oeste,Amazônia,15,Manaus,-3.119,-60.0217,26.24,28.02,24.27,87.59,2.79,1.19,4.284,31.0,362.0,51.714285714285715,39.13333333333333,31.41,86.97428571428573,26.30142857142857,0,11.0,152.25,0,98
2025-04-09,2025,4,Centro-Oeste,Amazônia,11,Manaus,-3.119,-60.0217,26.55,29.23,24.43,88.42,7.65,1.33,4.788,15.0,363.0,51.857142857142854,39.266666666666666,30.9,86.59714285714287,26.358571428571427,0,59.0,152.25,0,99
2025-04-10,2025,4,Centro-Oeste,Amazônia,59,Manaus,-3.119,-60.0217,26.36,28.11,25.22,91.87,6.34,1.07,3.852,11.0,336.0,48.0,38.86666666666667,37.88,86.73428571428572,26.414285714285715,0,19.0,152.25,0,100
2025-04-11,2025,4,Centro-Oeste,Amazônia,19,Manaus,-3.119,-60.0217,26.39,27.91,24.79,90.02,5.49,1.03,3.708,59.0,328.0,46.857142857142854,42.06666666666667,40.21000000000001,87.14,26.389999999999997,0,3.0,152.25,0,101
2025-04-12,2025,4,Centro-Oeste,Amazônia,3,Manaus,-3.119,-60.0217,26.11,26.9,25.28,91.85,12.88,0.84,3.024,19.0,242.0,34.57142857142857,43.266666666666666,26.4,87.12428571428572,26.50714285714286,0,3.0,152.25,0,102
2025-04-13,2025,4,Centro-Oeste,Amazônia,3,Manaus,-3.119,-60.0217,26.07,28.22,24.46,91.53,4.78,1.19,4.284,3.0,162.0,23.142857142857142,42.733333333333334,35.150000000000006,88.07714285714287,26.50857142857143,0,10.0,152.25,0,103
2025-04-14,2025,4,Centro-Oeste,Amazônia,10,Manaus,-3.119,-60.0217,26.23,28.42,24.62,91.57,2.11,1.27,4.572,3.0,141.0,20.142857142857142,32.733333333333334,39.93,89.42285714285715,26.369999999999997,0,8.0,152.25,0,104
2025-04-15,2025,4,Centro-Oeste,Amazônia,8,Manaus,-3.119,-60.0217,26.59,29.51,24.38,90.23,1.46,1.1,3.96,10.0,120.0,17.142857142857142,32.53333333333333,42.04,90.40714285714284,26.278571428571432,0,14.0,152.25,0,105
2025-04-16,2025,4,Centro-Oeste,Amazônia,14,Manaus,-3.119,-60.0217,27.38,30.59,24.44,85.78,0.54,1.34,4.824000000000001,8.0,113.0,16.142857142857142,32.666666666666664,40.71,90.78428571428572,26.32857142857143,1,9.0,152.25,0,106
